timestamp;SID;Etapa;Subetapa;Remoto;Local;Alerta
"""08/08-17:00:36.829250 ";100000881;3;1;91.189.91.13;10.5.1.104;alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any (msg:'COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt', content:'|01 da|', byte_test: 2,>,4,9,relative, classtype: attempted-user, reference:bugtraq,19507, reference:cve,2006-4144, sid:100000881, rev:1,)
"""08/08-17:00:36.976043 ";2570;2;0;10.5.1.104;91.189.91.13;alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS (msg:'SERVER-WEBAPP invalid HTTP version string', flow:to_server,established, content:' HTTP/', depth:300, nocase, isdataat:5,relative, content:!'0.9', within:3, content:!'1.0', within:3, content:!'1.1', within:3, pcre:!'/^[^\n]* HTTPx2f(0.9|1.[01])s*\n/i', metadata:policy max-detect-ips drop, ruleset community, service http, reference:bugtraq,34240, reference:bugtraq,9809, reference:cve,2009-0478, reference:nessus,11593, classtype:non-standard-protocol, sid:2570, rev:25,)
"""08/08-17:00:37.615503 ";100000881;3;1;91.189.91.13;10.5.1.104;alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any (msg:'COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt', content:'|01 da|', byte_test: 2,>,4,9,relative, classtype: attempted-user, reference:bugtraq,19507, reference:cve,2006-4144, sid:100000881, rev:1,)
"""08/08-17:00:38.536169 ";2570;2;0;10.5.1.104;91.189.91.13;alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS (msg:'SERVER-WEBAPP invalid HTTP version string', flow:to_server,established, content:' HTTP/', depth:300, nocase, isdataat:5,relative, content:!'0.9', within:3, content:!'1.0', within:3, content:!'1.1', within:3, pcre:!'/^[^\n]* HTTPx2f(0.9|1.[01])s*\n/i', metadata:policy max-detect-ips drop, ruleset community, service http, reference:bugtraq,34240, reference:bugtraq,9809, reference:cve,2009-0478, reference:nessus,11593, classtype:non-standard-protocol, sid:2570, rev:25,)
"""08/08-17:00:38.957672 ";100000881;3;1;91.189.91.13;10.5.1.104;alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any (msg:'COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt', content:'|01 da|', byte_test: 2,>,4,9,relative, classtype: attempted-user, reference:bugtraq,19507, reference:cve,2006-4144, sid:100000881, rev:1,)
"""08/08-17:00:39.029267 ";1917;1;0;10.5.1.108;239.255.255.250;alert udp $EXTERNAL_NET any -> $HOME_NET 1900 (msg:'INDICATOR-SCAN UPnP service discover attempt', flow:to_server, content:'M-SEARCH ', depth:9, content:'ssdp|3A|discover', fast_pattern:only, metadata:policy max-detect-ips drop, ruleset community, reference:url,attack.mitre.org/techniques/T1018, reference:url,attack.mitre.org/techniques/T1040, reference:url,attack.mitre.org/techniques/T1046, classtype:network-scan, sid:1917, rev:16,)
"""08/08-17:00:40.283718 ";100000881;3;1;91.189.91.13;10.5.1.104;alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any (msg:'COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt', content:'|01 da|', byte_test: 2,>,4,9,relative, classtype: attempted-user, reference:bugtraq,19507, reference:cve,2006-4144, sid:100000881, rev:1,)
"""08/08-17:00:41.617735 ";100000881;3;1;91.189.91.13;10.5.1.104;alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any (msg:'COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt', content:'|01 da|', byte_test: 2,>,4,9,relative, classtype: attempted-user, reference:bugtraq,19507, reference:cve,2006-4144, sid:100000881, rev:1,)
"""08/08-17:00:41.971709 ";100000881;3;1;91.189.91.13;10.5.1.104;alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any (msg:'COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt', content:'|01 da|', byte_test: 2,>,4,9,relative, classtype: attempted-user, reference:bugtraq,19507, reference:cve,2006-4144, sid:100000881, rev:1,)
"""08/08-17:00:41.972457 ";100000881;3;1;91.189.91.13;10.5.1.104;alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any (msg:'COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt', content:'|01 da|', byte_test: 2,>,4,9,relative, classtype: attempted-user, reference:bugtraq,19507, reference:cve,2006-4144, sid:100000881, rev:1,)
"""08/08-17:00:42.111734 ";100000881;3;1;91.189.91.13;10.5.1.104;alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any (msg:'COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt', content:'|01 da|', byte_test: 2,>,4,9,relative, classtype: attempted-user, reference:bugtraq,19507, reference:cve,2006-4144, sid:100000881, rev:1,)
"""08/08-17:00:42.593866 ";1917;1;0;10.5.1.108;239.255.255.250;alert udp $EXTERNAL_NET any -> $HOME_NET 1900 (msg:'INDICATOR-SCAN UPnP service discover attempt', flow:to_server, content:'M-SEARCH ', depth:9, content:'ssdp|3A|discover', fast_pattern:only, metadata:policy max-detect-ips drop, ruleset community, reference:url,attack.mitre.org/techniques/T1018, reference:url,attack.mitre.org/techniques/T1040, reference:url,attack.mitre.org/techniques/T1046, classtype:network-scan, sid:1917, rev:16,)
"""08/08-17:00:42.963543 ";2570;2;0;10.5.1.104;91.189.91.13;alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS (msg:'SERVER-WEBAPP invalid HTTP version string', flow:to_server,established, content:' HTTP/', depth:300, nocase, isdataat:5,relative, content:!'0.9', within:3, content:!'1.0', within:3, content:!'1.1', within:3, pcre:!'/^[^\n]* HTTPx2f(0.9|1.[01])s*\n/i', metadata:policy max-detect-ips drop, ruleset community, service http, reference:bugtraq,34240, reference:bugtraq,9809, reference:cve,2009-0478, reference:nessus,11593, classtype:non-standard-protocol, sid:2570, rev:25,)
"""08/08-17:00:43.034725 ";2570;2;0;10.5.1.104;91.189.91.13;alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS (msg:'SERVER-WEBAPP invalid HTTP version string', flow:to_server,established, content:' HTTP/', depth:300, nocase, isdataat:5,relative, content:!'0.9', within:3, content:!'1.0', within:3, content:!'1.1', within:3, pcre:!'/^[^\n]* HTTPx2f(0.9|1.[01])s*\n/i', metadata:policy max-detect-ips drop, ruleset community, service http, reference:bugtraq,34240, reference:bugtraq,9809, reference:cve,2009-0478, reference:nessus,11593, classtype:non-standard-protocol, sid:2570, rev:25,)
"""08/08-17:00:43.252162 ";2570;2;0;10.5.1.104;91.189.91.13;alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS (msg:'SERVER-WEBAPP invalid HTTP version string', flow:to_server,established, content:' HTTP/', depth:300, nocase, isdataat:5,relative, content:!'0.9', within:3, content:!'1.0', within:3, content:!'1.1', within:3, pcre:!'/^[^\n]* HTTPx2f(0.9|1.[01])s*\n/i', metadata:policy max-detect-ips drop, ruleset community, service http, reference:bugtraq,34240, reference:bugtraq,9809, reference:cve,2009-0478, reference:nessus,11593, classtype:non-standard-protocol, sid:2570, rev:25,)
"""08/08-17:00:43.750762 ";2570;2;0;10.5.1.104;91.189.91.13;alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS (msg:'SERVER-WEBAPP invalid HTTP version string', flow:to_server,established, content:' HTTP/', depth:300, nocase, isdataat:5,relative, content:!'0.9', within:3, content:!'1.0', within:3, content:!'1.1', within:3, pcre:!'/^[^\n]* HTTPx2f(0.9|1.[01])s*\n/i', metadata:policy max-detect-ips drop, ruleset community, service http, reference:bugtraq,34240, reference:bugtraq,9809, reference:cve,2009-0478, reference:nessus,11593, classtype:non-standard-protocol, sid:2570, rev:25,)
"""08/08-17:00:43.824736 ";2570;2;0;10.5.1.104;91.189.91.13;alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS (msg:'SERVER-WEBAPP invalid HTTP version string', flow:to_server,established, content:' HTTP/', depth:300, nocase, isdataat:5,relative, content:!'0.9', within:3, content:!'1.0', within:3, content:!'1.1', within:3, pcre:!'/^[^\n]* HTTPx2f(0.9|1.[01])s*\n/i', metadata:policy max-detect-ips drop, ruleset community, service http, reference:bugtraq,34240, reference:bugtraq,9809, reference:cve,2009-0478, reference:nessus,11593, classtype:non-standard-protocol, sid:2570, rev:25,)
"""08/08-17:00:44.181558 ";2570;2;0;10.5.1.104;91.189.91.13;alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS (msg:'SERVER-WEBAPP invalid HTTP version string', flow:to_server,established, content:' HTTP/', depth:300, nocase, isdataat:5,relative, content:!'0.9', within:3, content:!'1.0', within:3, content:!'1.1', within:3, pcre:!'/^[^\n]* HTTPx2f(0.9|1.[01])s*\n/i', metadata:policy max-detect-ips drop, ruleset community, service http, reference:bugtraq,34240, reference:bugtraq,9809, reference:cve,2009-0478, reference:nessus,11593, classtype:non-standard-protocol, sid:2570, rev:25,)
"""08/08-17:00:44.209146 ";1917;1;0;10.5.1.108;239.255.255.250;alert udp $EXTERNAL_NET any -> $HOME_NET 1900 (msg:'INDICATOR-SCAN UPnP service discover attempt', flow:to_server, content:'M-SEARCH ', depth:9, content:'ssdp|3A|discover', fast_pattern:only, metadata:policy max-detect-ips drop, ruleset community, reference:url,attack.mitre.org/techniques/T1018, reference:url,attack.mitre.org/techniques/T1040, reference:url,attack.mitre.org/techniques/T1046, classtype:network-scan, sid:1917, rev:16,)
"""08/08-17:00:45.091684 ";100000881;3;1;91.189.91.13;10.5.1.104;alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any (msg:'COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt', content:'|01 da|', byte_test: 2,>,4,9,relative, classtype: attempted-user, reference:bugtraq,19507, reference:cve,2006-4144, sid:100000881, rev:1,)
"""08/08-17:00:45.129076 ";100000881;3;1;69.16.175.10;10.5.1.110;alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any (msg:'COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt', content:'|01 da|', byte_test: 2,>,4,9,relative, classtype: attempted-user, reference:bugtraq,19507, reference:cve,2006-4144, sid:100000881, rev:1,)
"""08/08-17:00:46.429627 ";100000881;3;1;91.189.91.13;10.5.1.104;alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any (msg:'COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt', content:'|01 da|', byte_test: 2,>,4,9,relative, classtype: attempted-user, reference:bugtraq,19507, reference:cve,2006-4144, sid:100000881, rev:1,)
"""08/08-17:00:46.493589 ";100000881;3;1;91.189.91.13;10.5.1.104;alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any (msg:'COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt', content:'|01 da|', byte_test: 2,>,4,9,relative, classtype: attempted-user, reference:bugtraq,19507, reference:cve,2006-4144, sid:100000881, rev:1,)
"""08/08-17:00:46.992569 ";100000881;3;1;91.189.91.13;10.5.1.104;alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any (msg:'COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt', content:'|01 da|', byte_test: 2,>,4,9,relative, classtype: attempted-user, reference:bugtraq,19507, reference:cve,2006-4144, sid:100000881, rev:1,)
"""08/08-17:00:47.563829 ";100000881;3;1;91.189.91.13;10.5.1.104;alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any (msg:'COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt', content:'|01 da|', byte_test: 2,>,4,9,relative, classtype: attempted-user, reference:bugtraq,19507, reference:cve,2006-4144, sid:100000881, rev:1,)
"""08/08-17:00:47.569932 ";100000881;3;1;91.189.91.13;10.5.1.104;alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any (msg:'COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt', content:'|01 da|', byte_test: 2,>,4,9,relative, classtype: attempted-user, reference:bugtraq,19507, reference:cve,2006-4144, sid:100000881, rev:1,)
"""08/08-17:00:48.336258 ";100000881;3;1;91.189.91.13;10.5.1.104;alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any (msg:'COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt', content:'|01 da|', byte_test: 2,>,4,9,relative, classtype: attempted-user, reference:bugtraq,19507, reference:cve,2006-4144, sid:100000881, rev:1,)
"""08/08-17:00:50.648326 ";100000881;3;1;91.189.91.13;10.5.1.104;alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any (msg:'COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt', content:'|01 da|', byte_test: 2,>,4,9,relative, classtype: attempted-user, reference:bugtraq,19507, reference:cve,2006-4144, sid:100000881, rev:1,)
"""08/08-17:00:51.278584 ";100000881;3;1;91.189.91.13;10.5.1.104;alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any (msg:'COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt', content:'|01 da|', byte_test: 2,>,4,9,relative, classtype: attempted-user, reference:bugtraq,19507, reference:cve,2006-4144, sid:100000881, rev:1,)
"""08/08-17:00:53.448215 ";100000881;3;1;91.189.91.13;10.5.1.104;alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any (msg:'COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt', content:'|01 da|', byte_test: 2,>,4,9,relative, classtype: attempted-user, reference:bugtraq,19507, reference:cve,2006-4144, sid:100000881, rev:1,)
"""08/08-17:00:53.588539 ";100000881;3;1;91.189.91.13;10.5.1.104;alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any (msg:'COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt', content:'|01 da|', byte_test: 2,>,4,9,relative, classtype: attempted-user, reference:bugtraq,19507, reference:cve,2006-4144, sid:100000881, rev:1,)
"""08/08-17:00:54.144710 ";100000881;3;1;91.189.91.13;10.5.1.104;alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any (msg:'COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt', content:'|01 da|', byte_test: 2,>,4,9,relative, classtype: attempted-user, reference:bugtraq,19507, reference:cve,2006-4144, sid:100000881, rev:1,)
"""08/08-17:00:55.276625 ";100000881;3;1;91.189.91.13;10.5.1.104;alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any (msg:'COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt', content:'|01 da|', byte_test: 2,>,4,9,relative, classtype: attempted-user, reference:bugtraq,19507, reference:cve,2006-4144, sid:100000881, rev:1,)
"""08/08-17:00:58.567605 ";100000881;3;1;91.189.91.13;10.5.1.104;alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any (msg:'COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt', content:'|01 da|', byte_test: 2,>,4,9,relative, classtype: attempted-user, reference:bugtraq,19507, reference:cve,2006-4144, sid:100000881, rev:1,)
"""08/08-17:00:59.124589 ";100000881;3;1;91.189.91.13;10.5.1.104;alert tcp $EXTERNAL_NET $HTTP_PORTS -> $HOME_NET any (msg:'COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt', content:'|01 da|', byte_test: 2,>,4,9,relative, classtype: attempted-user, reference:bugtraq,19507, reference:cve,2006-4144, sid:100000881, rev:1,)
"""08/08-17:00:59.186432 ";2570;2;0;10.5.1.110;128.101.240.212;alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS (msg:'SERVER-WEBAPP invalid HTTP version string', flow:to_server,established, content:' HTTP/', depth:300, nocase, isdataat:5,relative, content:!'0.9', within:3, content:!'1.0', within:3, content:!'1.1', within:3, pcre:!'/^[^\n]* HTTPx2f(0.9|1.[01])s*\n/i', metadata:policy max-detect-ips drop, ruleset community, service http, reference:bugtraq,34240, reference:bugtraq,9809, reference:cve,2009-0478, reference:nessus,11593, classtype:non-standard-protocol, sid:2570, rev:25,)
"""08/08-17:00:59.265953 ";2570;2;0;10.5.1.110;128.101.240.212;alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS (msg:'SERVER-WEBAPP invalid HTTP version string', flow:to_server,established, content:' HTTP/', depth:300, nocase, isdataat:5,relative, content:!'0.9', within:3, content:!'1.0', within:3, content:!'1.1', within:3, pcre:!'/^[^\n]* HTTPx2f(0.9|1.[01])s*\n/i', metadata:policy max-detect-ips drop, ruleset community, service http, reference:bugtraq,34240, reference:bugtraq,9809, reference:cve,2009-0478, reference:nessus,11593, classtype:non-standard-protocol, sid:2570, rev:25,)
"""08/08-17:00:59.280729 ";2570;2;0;10.5.1.110;128.30.2.36;alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS (msg:'SERVER-WEBAPP invalid HTTP version string', flow:to_server,established, content:' HTTP/', depth:300, nocase, isdataat:5,relative, content:!'0.9', within:3, content:!'1.0', within:3, content:!'1.1', within:3, pcre:!'/^[^\n]* HTTPx2f(0.9|1.[01])s*\n/i', metadata:policy max-detect-ips drop, ruleset community, service http, reference:bugtraq,34240, reference:bugtraq,9809, reference:cve,2009-0478, reference:nessus,11593, classtype:non-standard-protocol, sid:2570, rev:25,)
"""08/08-17:00:59.363032 ";2570;2;0;10.5.1.110;128.101.240.212;alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS (msg:'SERVER-WEBAPP invalid HTTP version string', flow:to_server,established, content:' HTTP/', depth:300, nocase, isdataat:5,relative, content:!'0.9', within:3, content:!'1.0', within:3, content:!'1.1', within:3, pcre:!'/^[^\n]* HTTPx2f(0.9|1.[01])s*\n/i', metadata:policy max-detect-ips drop, ruleset community, service http, reference:bugtraq,34240, reference:bugtraq,9809, reference:cve,2009-0478, reference:nessus,11593, classtype:non-standard-protocol, sid:2570, rev:25,)
"""08/08-17:00:59.365828 ";2570;2;0;10.5.1.110;128.30.2.36;alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS (msg:'SERVER-WEBAPP invalid HTTP version string', flow:to_server,established, content:' HTTP/', depth:300, nocase, isdataat:5,relative, content:!'0.9', within:3, content:!'1.0', within:3, content:!'1.1', within:3, pcre:!'/^[^\n]* HTTPx2f(0.9|1.[01])s*\n/i', metadata:policy max-detect-ips drop, ruleset community, service http, reference:bugtraq,34240, reference:bugtraq,9809, reference:cve,2009-0478, reference:nessus,11593, classtype:non-standard-protocol, sid:2570, rev:25,)
"""08/08-17:00:59.443102 ";2570;2;0;10.5.1.110;128.101.240.212;alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS (msg:'SERVER-WEBAPP invalid HTTP version string', flow:to_server,established, content:' HTTP/', depth:300, nocase, isdataat:5,relative, content:!'0.9', within:3, content:!'1.0', within:3, content:!'1.1', within:3, pcre:!'/^[^\n]* HTTPx2f(0.9|1.[01])s*\n/i', metadata:policy max-detect-ips drop, ruleset community, service http, reference:bugtraq,34240, reference:bugtraq,9809, reference:cve,2009-0478, reference:nessus,11593, classtype:non-standard-protocol, sid:2570, rev:25,)
"""08/08-17:00:59.460670 ";2570;2;0;10.5.1.110;128.30.2.36;alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS (msg:'SERVER-WEBAPP invalid HTTP version string', flow:to_server,established, content:' HTTP/', depth:300, nocase, isdataat:5,relative, content:!'0.9', within:3, content:!'1.0', within:3, content:!'1.1', within:3, pcre:!'/^[^\n]* HTTPx2f(0.9|1.[01])s*\n/i', metadata:policy max-detect-ips drop, ruleset community, service http, reference:bugtraq,34240, reference:bugtraq,9809, reference:cve,2009-0478, reference:nessus,11593, classtype:non-standard-protocol, sid:2570, rev:25,)
"""08/08-17:00:59.522273 ";2570;2;0;10.5.1.110;128.101.240.212;alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS (msg:'SERVER-WEBAPP invalid HTTP version string', flow:to_server,established, content:' HTTP/', depth:300, nocase, isdataat:5,relative, content:!'0.9', within:3, content:!'1.0', within:3, content:!'1.1', within:3, pcre:!'/^[^\n]* HTTPx2f(0.9|1.[01])s*\n/i', metadata:policy max-detect-ips drop, ruleset community, service http, reference:bugtraq,34240, reference:bugtraq,9809, reference:cve,2009-0478, reference:nessus,11593, classtype:non-standard-protocol, sid:2570, rev:25,)
"""08/08-17:00:59.547883 ";2570;2;0;10.5.1.110;128.30.2.36;alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS (msg:'SERVER-WEBAPP invalid HTTP version string', flow:to_server,established, content:' HTTP/', depth:300, nocase, isdataat:5,relative, content:!'0.9', within:3, content:!'1.0', within:3, content:!'1.1', within:3, pcre:!'/^[^\n]* HTTPx2f(0.9|1.[01])s*\n/i', metadata:policy max-detect-ips drop, ruleset community, service http, reference:bugtraq,34240, reference:bugtraq,9809, reference:cve,2009-0478, reference:nessus,11593, classtype:non-standard-protocol, sid:2570, rev:25,)
"""08/08-17:00:59.632793 ";2570;2;0;10.5.1.110;128.30.2.36;alert tcp $EXTERNAL_NET any -> $HOME_NET $HTTP_PORTS (msg:'SERVER-WEBAPP invalid HTTP version string', flow:to_server,established, content:' HTTP/', depth:300, nocase, isdataat:5,relative, content:!'0.9', within:3, content:!'1.0', within:3, content:!'1.1', within:3, pcre:!'/^[^\n]* HTTPx2f(0.9|1.[01])s*\n/i', metadata:policy max-detect-ips drop, ruleset community, service http, reference:bugtraq,34240, reference:bugtraq,9809, reference:cve,2009-0478, reference:nessus,11593, classtype:non-standard-protocol, sid:2570, rev:25,)
